Lnumber,LID_CSV,LitList
38,L01598,"Barber A. (2011) <i>Thereuonema tuberculata</i>, a scutigeromorph centipede from China, found in a warehouse at Swindon. Bulletin of the British Myriapod & Isopod Group, 25: 49–50."
39,L01407,"Benavides L. R., Edgecombe G. D. and Giribet G. (2023) Re-evaluating and dating myriapod diversification with phylotranscriptomics under a regime of dense taxon sampling. Molecular Phylogenetics and Evolution, 178: 107621."
40,L01221,"Blower J. G. (1979) The millipedes fauna of two British lirnestone woods. p. 203–214 In: Camatini, M. (ed.) Myriapod Biology. Academic Press. London."
41,L00009,"Bollman C. H. (1888 (not 1887)) Description of fourteen new species of North American myriapods. Proceedings of the United States National Museum, 10(670): 617–627"
42,L01416,"Bollman C. H. (1893) The Myriapoda of north America. Bulletin of the United States National Museum, 46: 1–210."
43,L01599,"Bolton S. J., Macleod N. and Edgecombe G. D. (2009) Geometric approaches to the taxonomic analysis of centipede gonopods (Chilopoda: Scutigeromorpha). Zoological Journal of the Linnean Society, 156(2): 239–259."
44,L01195,"Bonato L., Barber A. and Minelli A. (2006) The European centipedes hitherto referred to <i>Eurygeophilus</i>, <i>Mesogeophilus</i>, and <i>Chalandea</i> (Chilopoda, Geophilomorpha): taxonomy, distribution, and geographical variation in segment number. Journal of Natural History, 40(7–8): 415–438."
45,L01516,"Bonato L., Bortolin F., Drago L., Orlando M. and Dányi L. (2017) Evolution of <i>Strigamia</i> centipedes (Chilopoda): a first molecular assessment of phylogeny and divergence times. Zoologica Scripta, 46(4): 486–495."
46,L01568,"Bonato L., Dányi L., Socci A. A. and Minelli A. (2012) Species diversity of <i>Strigamia</i> Gray, 1843 (Chilopoda: Linotaeniidae): a preliminary synthesis. Zootaxa, 3593(1): 1–39."
47,L01597,"Bonato L., Edgecombe G. D., Lewis J. G. E., Minelli A., Pereira L. A., Shelley R. M. and Zapparoli M. (2010) A common terminology for the external anatomy of centipedes (Chilopoda). ZooKeys, 69: 17–51."
48,L01515,"Bonato L., Foddai D. and Minelli A. (2002) A new mecistocephalid centipede from Ryukyu Islands and a revisitation of ‘Taiwanella’ (Chilopoda: Geophilomorpha: Mecistocephalidae). Zootaxa, 86(1): 1–12."
49,L01524,"Bonato L., Foddai D. and Minelli A. (2003) Evolutionary trends and patterns in centipede segment number based on a cladistic analysis of Mecistocephalidae (Chilopoda: Geophilomorpha). Systematic Entomology, 28(4): 539–579."
50,L01347,"Brewer M. S., Spruill C. L., Rao N. S. and Bond J. E. (2012) Phylogenetics of the millipede genus <i>Brachycybe</i> Wood, 1864 (Diplopoda: Platydesmida: Andrognathidae): Patterns of deep evolutionary history and recent speciation. Molecular Phylogenetics and Evolution, 64(1): 232–242."
51,L01348,"Brewer M. S., Swafford L., Spruill C. L. and Bond J. E. (2013) Arthropod phylogenetics in light of three novel millipede (Myriapoda: Diplopoda) mitochondrial genomes with comments on the appropriateness of mitochondrial genome sequence data for inferring deep level relationships. PLOS ONE, 8(7): e68005."
52,L01249,"Brölemann H. W. (1902) Myriapodes du Musée de Saõ Paulo. Revista do Museu Paulista, 5: 35–237."
53,L01553,"Brölemann H. W. (1909) Quelques géophilides des collections du Muséum d'histoire naturelle. Bulletin du Muséum national d'histoire naturelle, 7: 415–432."
