Lnumber,LID_CSV,LitList
353,L00532,"Ishii K. (1990) Two new species of Penicillate diplopods of the family Polyxenidae (Diplopoda: Penicillata) from China. Canadian Entomologist, 122(6): 1239–1246."
354,L01366,"石井 清 (1991) 多足類（Myriapoda） p. 376–409, 531–533. In: 高萩の動物編集委員会 (編) 高萩の動物. 高萩市, 高萩. 538 pp."
355,L00640,"石井 清 (1991) 日本産ヒトフシムカデ属の3新種. Edaphologia, (45): 23–31."
356,L01323,"石井 清 (1991) 八溝山地の多足類. 栃木県立博物館研究紀要, (9): 23–30."
357,L00842,"石井 清 (1992) オオギヤスデ <i>Cryptocorypha japonicus</i> （オビヤスデ目；ハガヤスデ科）の個体数変動と生活史について. Takakuwaia, (24): 47–51."
358,L01242,石井 清 (1993) 土壌動物 4 多足類相と生態について. p. 417–442. In: 八ッ場ダム地域自然調査会 (編) 八ッ場ダムダム湖予定地及び関連地域文化財調査報告書 長野原の自然. 長野原町. 498 pp.
359,L00641,"石井 清 (1993) アジアにおけるイシムカデ目の分類学的研究. 1. 与那国島と西表島から採集されたヒトフシムカデ属の1新種について. 動物分類学会誌, (49): 33–36."
360,L00642,"石井 清 (1994) ヤスデ類の大顎構造と分類標徴としての重要性. 動物分類学会誌, (51): 74–75."
361,L00643,"石井 清 (1995) アジアにおけるイシムカデ目の分類学的研究. III. 本州中部の日本海沿岸地域から採集されたヒトフシムカデ属の一新種について. Edaphologia, (53): 7–10."
362,L00862,"石井 清 (1995) 記念すべき第9回国際多足類会議に参加して. Takakuwaia, (27): 6."
363,L01403,石井 清 (1996) 第5節 多足類. p. 350–357. In: 千葉県史料研究財団 (編) 千葉県の自然誌. 千葉県. 789 pp.
364,L00872,"石井 清 (1996) 三好保徳博士を偲ぶ. Takakuwaia, (28): 29–30."
365,L00533,"Ishii K. (1997) Comparative biological study of the penicillate diplopods in Japan (Diplopoda, Penicillata). p. 257–262. In: Enghoff H. (ed.) Many-legged animals - A collection of papers on Myriapoda and Onychophora. Entomologica scandinavica, Supplement, (51)."
366,L00644,石井 清 (1998) 多足類. p. 318–327 In: 茨城自然博物館 (編) 茨城県自然博物館第1次総合調査報告書 —筑波山・霞ヶ浦を中心とする県南部地域の自然—.
367,L01404,石井 清 (1998) 尾瀬ヶ原地域の多足類. p. 623–644. In: 尾瀬総合学術調査団 (編) 尾瀬の総合研究. 尾瀬総合学術調査団. 868 pp.
368,L01410,"石井 清 (1999) 千葉県産多足類とファウナの特徴. p. 206–218 In: 千葉県生物学会 (編) 千葉県動物誌. 文一総合出版, 東京. 1247 pp."
369,L00534,"Ishii K. (1999) The first penicillate millipedes from the vicinity of Manaus, Central Amazonia, Brazil (Diplopoda: Polyxenida). Amazoniana, 15(3–4): 239–267."
370,L00646,"石井 清 (2000) アジアにおけるイシムカデ目の分類学的研究. 5. 山形県から発見されたヒトフシムカデ属の1新種について. Edaphologia, (65): 19–23."
371,L00647,"石井 清 (2000) 皇居の多足類. 国立科学博物館専報, (35): 103–114."
372,L00649,石井 清 (2001) ムカデ類とヤスデ類. p. 356–366 In: 茨城自然博物館 (編) 茨城県自然博物館第2次総合調査報告書 — 鶏足山塊・湖沼・県央海岸を中心とする県央地域の自然 —.
373,L00908,"石井 清 (2001) 東亜産多足類文献目録 第55集. Takakuwaia, (31): 10–12."
374,L01514,"Ishii K. (2002) A new species of the genus <i>Monotarsobius</i> from Nagasaki, Kyushu, Japan. (Taxonomic study of the order Lithobiomorpha (Chilopoda) in Asia. VI). Special Bulletin of the Japanese Society of Coleopterology, (5): 51–55."
375,L00651,"石井 清 (2002) 愛媛県から発見されたヒトフシムカデ属（ムカデ綱；イシムカデ科）の1新種. タクサ：日本動物分類学会誌, (13): 43."
376,L01004,石井 清 (2003) ヤスデ綱・ムカデ綱. p. 163–166 In: 環境省自然環境局 生物多様性センター (編) 生物多様性調査 生態系多様性地域調査（富士北麓地域）報告書. 275 pp.
377,L00912,"石井 清 (2003) 東亜産多足類文献目録 第56集. Takakuwaia, (32): 8–11."
378,L00653,石井 清 (2004) ムカデ類・ヤスデ類. p. 388–398 In: 茨城自然博物館 (編) 茨城県自然博物館第3次総合調査報告書 — 阿武隈山地・県北部海岸を中心とした県北東部地域の自然 —
379,L00656,石井 清 (2007) ムカデ類・ヤスデ類. p. 362–368 In: 茨城自然博物館 (編) 茨城県自然博物館第4次総合調査報告書 — 八溝山地・久慈川を中心とする県北西部地域の自然 —.
380,L00658,"石井 清 (2011) 鹿児島県から採集されたヒトフシムカデ属の特異的な新種（アジアにおけるイシムカデ目の分類学的研究7）. Edaphologia, (88): 37–42."
381,L00036,"石井 清 (2014) 皇居における多足類の生息密度. 国立科学博物館専報, (50): 49–58."
382,L01526,"石井 清 (2023) 日本から発見されたタムラフサヤスデ属の1新種と後胚子発生にともなう形態的変化. Edaphologia, (113): 121–131."
383,L00530,"Ishii K. and Choi S.-S. (1988) A new species of the genus <i>Polyxenus</i> (Diplopoda: Penicillata: Polyxenidae) from Korea. Canadian Entomologist, 120(8–9): 711–715."
384,L01321,"石井 清・古野 勝久 (1995) 足尾山地の多足類. 栃木県立博物館研究紀要, (13): 33–43."
385,L00354,"石井 清・永井 伸一 (1981) 本邦産触顎類の生活史について. Atypus, (79): 29–30."
386,L01401,"石井 清・大塚 待子・永井 伸一 (1978) 各種生態系における動物群集に関する研究 I 栃木県における多足類について. 獨協医科大学教養医学科紀要, (1): 75–100."
387,L00659,"石井 清・大塚 待子・永井 伸一 (1983) マクラギヤスデの生活史について. 動物学雑誌, 92(4): 648."
388,L01400,石井 清・新海 明 (1985) 田島ヶ原サクラソウ自生地の大型土壌動物. p. 22–27. In: 浦和市天然記念物調査会 (編) 荒川調節池工事に伴う天然記念物田島ヶ原サクラソウ自生地影響調査概報. 浦和市天然記念物調査会. 77 pp.
389,L00660,"石井 清・田村 浩志 (1994) アジアにおけるイシムカデ目の分類学的研究. 2. 本州の関東地方から採集されたヒトフシムカデ属の6新種について. Edaphologia, (52): 1–18."
390,L00882,"石井 清・田辺 力 (1997) 村上好央先生略歴. Takakuwaia, (29): 1."
391,L00536,"Ishii K. and Wen-ying Y. (2000) New species of Penicillata (Diplopoda) from Yunnan, southwest China. p. 91–116 In: Aoki J., Wen-ying Y. and Imadate G. (eds.) Taxonomical studies on the soil fauna of Yunnan Province in southwest China. Tokai University Press, Tokyo."
392,L00661,"石井 清・八畑 謙介 (1997) アジアにおけるイシムカデ目の分類学的研究. 4. 奄美大島から採集されたヒトフシムカデ属の1新種について. Edaphologia, (58): 21–24."
393,L00639,"石井 清・山口 恵一郎・永井 伸一 (1981) 触顎類(Pselaphognatha)の分類学上の標徴としての歩肢感覚棘毛について. 動物学雑誌, 90(4): 689."
394,L01083,石井 清・山本 栄治 (2000) 小田深山の多足類（ムカデ・ヤスデ・コムカデ）. p. 855–885. In: 小田町深山の自然編集委員会・山本 栄治 (編) 小田深山の自然 I. 愛媛県上浮穴郡小田町. 1074 pp.
395,L00346,"Ishii K. and Yamaoka H. (1982) The species and number of symbiotic penicillate millipeds in arboreal ant nests. Canadian Entomologist, 114(8): 767–768."
396,L01045,"石井 清・山岡 寛人 (1983) 清澄山の樹上営巣性アリ類の巣に共生するフサヤスデについての一例. 清澄, (10): 41."
397,L00814,"石野田 辰夫 (1992) 篠原先生の遥かなる旅路を祝して. Takakuwaia, (24): 24."
398,L00248,"伊藤 雅道・美馬 純一・藤川 粋至・吉田 利男・金子 信博 (2002) キシャヤスデ八ヶ岳～霧ヶ峰集団と同所的に存在する１齢遅れ集団の発見. Edaphologia, (70): 37–39."
399,L00989,"伊藤 雅道・美馬 純一・吉田 利男・橋本 みのり・豊田 鮎・金子 信博・富田 大介・内田 煌二 (2001) キシャヤスデ八ヶ岳～霧ヶ峰集団の2000年の分布及び群遊状況について（速報）. Edaphologia, (68): 39–42."
400,L01007,伊藤 良作 (2003) 溶岩洞の無脊椎動物. p. 225–230 In: 環境省自然環境局 生物多様性センター (編) 生物多様性調査 生態系多様性地域調査（富士北麓地域）報告書.
401,L00292,"岩波 基樹・新島 渓子 (1981) 多摩川源流地域におけるキシャヤスデの発生について. Edaphologia, (24): 39–45."
402,L01379,"岩﨑 朝生・外村 康一郎 (2022) 渡嘉敷島（慶良間諸島）からの半水棲オオムカデ，リュウジンオオムカデ<i>Scolopendra alcyona</i> （Scolopendromorpha, Scolopendridae）の初記録. Edaphologia, (110): 39–40."
403,L00270,"岩島 範子・金子 信博・佐藤 邦明・若月 利之・増永 二之 (2011) 密度と餌の違いを考慮したババヤスデ科2種(キシャヤスデ,ミドリババヤスデ)の糞の化学性の比較. Edaphologia, (88): 43–53."
404,L01341,"Janssen R., Prpic N.-M. and Damen W. G. M. (2006) A review of the correlation of tergites, sternites, and leg pairs in diplopods. Frontiers in Zoology, 3(2): 1–10."
405,L00410,"Jeekel C. A. W. (1952) Milliped miscellany. Entomologische Berichten, 14(323): 71–77."
406,L01734,"Jeekel C. A. W. (1963) Diplopoda of Guiana (1–5). Studies on the Fauna of Suriname and Other Guyanas, 4(11): 1–157."
407,L00037,"Jeekel C. A. W. (1968) On the classification and geographical distribution of the family Paradoxosomatidae (Diplopoda, Polydesmida). Thesis, University of Amsterdam, 1–162."
408,L00038,"Jeekel C. A. W. (1971) Nomenclator generum et familiarum Diplopodorum: A list of the genus and family-group names in the Class Diplopoda from the 10th edition of Linnaeus, 1758, to the end of 1957. Monografieën van de Nederlandse Entomologische Vereniging, 5: 1–412."
409,L01258,"Jeekel C. A. W. (1978) Voolopige atlas van de verspreiding der Nederlandse miljoenpoten (Diplopoda). Verslagen en Technische gegevens Instituut voor Taxonomische Zoölogie, (15): 1–68."
410,L00409,"Jeekel C. A. W. (1980) On the classification of some little-known Paradoxosomatidae from Java and Sumatra (Diplopoda, Polydesmida). Revue suisse de Zoologie, 87(2): 323–340."
411,L01356,"Jeekel C. A. W. (1988) The generic position of <i>Orthomorpha bucharensis</i> Lohmander and <i>O. muminabadensis</i> Glulička and the taxonomic status of <i>Hedinomorpha</i> Verhoeff (Diplopoda, Polydesmida, Paradoxosomatidae). Bulletin Zoölogisch Museum, Universiteit van Amsterdam, 11(11): 97–104."
412,L00297,"Jeekel C. A. W. (2001) A bibliographic catalogue of the Siphonophorida (Diplopoda). Myriapod Memoranda, 3(27): 44–71."
413,L01234,"Jeekel C. A. W. (2001) <i>Julus lucifugus</i> Gervais, 1836, a long overlooked name for a wide-spread synanthrope millipede (Diplopoda, Spirobolida, Spirobolellidae). Myriapod Memoranda, 3: 39–43."
414,L01236,"Jeekel C. A. W. (2001) A bibliographic catalogue of the Spirobolida of the oriental and australian regions (Diplopoda). Myriapod Memoranda, 4: 5–104."
415,L01447,"Jeekel C. A. W. (2004) A bibliographic catalogue of the ""Cambaloidea"" (Diplopoda, Spirostreptida). Myriapod Memoranda, 7: 43–109."
416,L01362,"Jiang X.-K., Hennen D. A., Chen H.-M. and Xie Z.-C. (2020) First description of the male of Glyphiulus formosus (Pocock, 1895) (Diplopoda: Spirostreptida: Cambalopsidae) from China. Zootaxa, 4861(2): 281–289."
417,L01292,"Jonishi T. and Nakano T. (2020) First records of a blind centipede, <i>Cryptops navis</i> Chamberlin, 1930 (Chilopoda, Scolopendromorpha, Cryptopidae), from Japan. Check List, 16(4): 865–869."
418,L01293,"Jonishi T. and Nakano T. (2022) Correct authorships, synonymies, and remarks on the type series of fourteen names of centipedes introduced by Yoshioki Takakuwa in 1934 and <i>Mecistocephalus takakuwai</i> (Chilopoda: Geophilomorpha and Scolopendromorpha). Species Diversity, 27(1): 71–81."
419,L01291,"Jonishi T. and Nakano T. (2022) Taxonomic accounts and phylogenetic positions of the far east Asian centipedes <i>Scolopocryptops elegans</i> and <i>S. curtus</i> (Chilopoda: Scolopendromorpha). Zoological Science, 39(6): 1–13."
420,L01665,"Jonishi T. and Nakano T. (2023) Two new species of <i>Scolopocryptops</i> centipedes from southern Japan (Chilopoda: Scolopendromorpha: Scolopocryptopidae). European Journal of Taxonomy, 908(1): 155–182."
421,L01708,"Jonishi T. and Nakano T. (2024) Taxonomic re-appraisal of <i>Scolopocryptops quadristriatus</i> (Verhoeff, 1934) and a description of a new species from Japan and Taiwan (Chilopoda, Scolopendromorpha, Scolopocryptopidae). Zoosystematics and Evolution, 100(2): 405–423."
422,L01728,"上西 太朗・澤田 直人・中野 隆文 (2023) エリジロベニジムカデによる微小貝カサキビの捕食例. Edaphologia, (112): 35–36."
423,L01081,上高井誌編纂会 (1964) 長野県 上高井誌 自然編. 上高井教育会.
424,L01673,"神谷 貴文 (2023) 外来不快害虫ヤンバルトサカヤスデの分布・生態情報とまん延対策. 環動昆, 34(1): 9–16."
425,L00537,"Kaneko N. (1999) Effect of millipede <i>Parafontaria tonominea</i> Attems (Diplopoda: Xystodesmidae) adults on soil biological activities: A microcosm experiment. Ecological Research, 14(3): 271–279."
426,L00275,"金子 信博・橋本 みのり (2010) 三瓶山のミドリババヤスデの生活史 (森川國康博士追悼号). Edaphologia, (86): 21–25."
427,L01574,"Kang S., Liu Y., Zeng X., Deng H., Luo Y., Chen K. and Chen S. (2017) Taxonomy and identification of the genus <i>Scolopendra</i> in China using integrated methods of external morphology and molecular phylogenetics. Scientific Reports, 7: 16032."
428,L00706,"唐澤 重考・Frédéric Beaulieu・佐々木 健志・Lucio Bonato・萩野 康則・林 正美・伊藤 良作・岸本 年郎・中村 修美・野村 周平・布村 昇・坂寄 廣・澤田 義弘・須摩 靖彦・田中 真悟・田辺 力・谷川 明男・肘井 直樹 (2008) 日本の亜熱帯林における土壌性節足動物の多様性維持機能としてのオオタニワタリ. Edaphologia, (83): 11–30."
429,L00022,"Karasawa S., Kawano K., Fukaya S. and Tsurusaki N. (2020) Upgrading of three subspecies of <i>Eudigraphis takakuwai</i> to the species rank (Diplopoda: Penicillata: Polyxenida: Polyxenidae). Species Diversity, 25(1): 89–102."
430,L00039,"Karsch F. (1880) Ein neuer japanischer Myriopod. Zeitschrift für die gesammten Naturwissenschaften, 53: 846–848."
431,L01413,"Karsch F. (1881) Chinesische Myriopoden und Arachnoideen. Berliner entomologische Zeitschrift, 25(2): 219–220."
432,L01411,"Karsch F. (1881) Zum Studium der Myriopoda Polydesmia [sic]. Archiv für Naturgeschichte, 47(1): 36–49."
433,L01156,"Karsch F. (1881) Neue Juliden des Berliner Museums, als Prodromus einer Juliden-Monographie. Zeitschrift für die gesammten Naturwissenschaften, 54: 1–79."
434,L00818,"加藤 宏保 (1992) 篠原先生の還暦を祝して. Takakuwaia, (24): 26."
435,L00269,"加藤 宏保・福山 研二 (2015) 房総半島スギ壮齢林における大型土壌動物の土壌層別の季節変化. Edaphologia, (96): 13–18."
436,L01389,"Kato T. and Nakano T. (2023) Redescription of the Subterranean Millipede Antrokoreana gujoensis (Diplopoda: Julida: Nemasomatidae) from Central Honshu, Japan. Species Diversity, 28(1): 133–140."
437,L01369,"Kato T., Takano M., Nakano T. and Shimano S. (2023) Taxonomic assessment of a threatened large millipede endemic to the southern Ryukyu Islands, Japan: a new species of <i>Spirobolus</i> (Diplopoda: Spirobolida: Spirobolidae) from the Yaeyama Islands. Species Diversity, 28(1): 23–30."
438,L01215,"Kato T., Umemura S. and Nakano T. (2022) A new species of the subterranean millipede genus <i>Antrokoreana</i> Verhoeff, 1938 from the Nanatsuoguchi Mine, central Honshu, Japan, and insights into the phylogenetic position of <i>Antrokoreana</i> (Diplopoda, Julida, Nemasomatidae). Zootaxa, 5105(4): 559–570."
439,L00820,"川名 興 (1992) 篠原圭三郎先生に教えをいただいて. Takakuwaia, (24): 27."
440,L01716,"川野 敬介 (2016) 島根県のムカデ類調査の現状. ホシザキグリーン財団研究報告, (19): 205–207."
441,L01653,"川野 敬介 (2017) 下関のヤスデ. 豊田ホタルの里ミュージアム, 下関. 30 pp."
442,L00962,"川澤 哲夫 (1969) 羅漢穴の節足動物相について. げんせい, (20): 1–8."
443,L00819,"萱嶋 泉 (1992) 篠原圭三郎先生に贈る言葉. Takakuwaia, (24): 26–27."
444,L01436,"Keller O., Dunn A. and Soto-Adames F. (2023) An annotated catalog of the primary type material of Myriapoda deposited in the Florida State collection of arthropods in Gainesville, FL, USA. Zootaxa, 5293(2): 230–250."
445,L00271,"喜久永 徹・金城 弘・国吉 正之 (1993) 沖縄産ヤスデからの臭気成分の研究. 琉球大学理学部紀要, (56): 91–112."
446,L01666,"Kim G., Adebimpe A. A., Nguyen A. D., Korsós Z. and Hwang U. W. (2023) An annotated checklist of millipedes (Myriapoda: Diplopoda) inhabiting the Korean Peninsula. Animal Systematics, Evolution and Diversity, 39(4): 133–154."
447,L01232,"岸田 久吉 (1921) ヤスデと昆蟲の起源. 動物学雑誌, 33(387): 38–39."
448,L01729,"岸田 久吉 (1925) 中等教員檢定試驗問題解答 : 八、ヤスデとムカデの構造を比較せよ. 動物学雑誌, 37(440): 268–269."
449,L01584,"岸田 久吉 (1927) 多足類. p. 941–952. In: 内田 淸之助 (編) 日本動物圖鑑. 北隆館, 東京."
450,L01408,岸田 久吉 (1928) 第六章 ムカデ類. p. 290–303 In: 官幣大社 淺間神社 (編) 富士の研究 VI 富士の動物 富士の植物. 714 pp.
451,L01409,岸田 久吉 (1928) 第八章 ヤスデ類 (Diplopoda). p. 427–445 In: 官幣大社 淺間神社 (編) 富士の研究 VI 富士の動物 富士の植物. 714 pp.
452,L01730,"Kishida K. (1928) A Japanese species of Pauropoda (<i>Neopauropus niwai</i>). Annotationes Zoologicae Japonenses, 11(4): 377–383."
453,L01732,"岸田 久吉 (1931) 新著紹介: 江崎悌三—昭和五年十一月十五日—多足類・蜘蛛類—岩波講座 生物學 128pp. Lansania: Journal of Arachnology and Zoology, 3(21): 4."
454,L01733,"岸田 久吉 (1934) 馬陸類の分類體系. Lansania: Journal of Arachnology and Zoology, 6(60): 150–155."
455,L01209,"岸田 久吉 (1935) ヤスデの採集と分類 —紀州動植物第二巻第一号のために—. 紀州動植物, 2(1): 1–38."
456,L01527,"岸田 久吉 (1936) XIX. 日光の多足類. p. 485–488. In: 東照宮 (編) 日光の植物と動物. 東照宮, 日光. 620 pp."
457,L01731,"岸田 久吉 (1949) 日本産少脚目. 動物学雑誌, 58(3–5): 63."
458,L00419,"岸本 年郎・加賀 芳恵 (2021) 北硫黄島の大型土壌動物（予報）. Ogasawara Research, (47): 93–100."
459,L00246,"北村 実彬 (1977) ヤスデ類の防御物質. 防虫科学, 42(1): 61–62."
460,L01184,"北澤 淺治 (1943) 本邦産結閥類（Symphyla）生活史研究の概況並に考察. 動物学雑誌, 55(11–12): 367."
461,L01186,"北澤 淺治 (1950) 飼育實驗に依る<i>Hanseniella</i>屬の一種の生活史の研究. 動物学雑誌, 59(2–3): 36–37."
462,L01187,"北澤 淺治 (1951) <i>Hanseniella</i>屬の一種の發育日數と平均氣温の關係. 動物学雑誌, 60(1–2): 48–49."
463,L01198,"北澤 淺治 (1953) <i>Hanseniella</i>屬の一種の食性. 動物学雑誌, 62(3–4): 128."
464,L01693,"木内 盛郷・吉田 正隆 (1970) 徳島県の洞窟動物相. 徳島県博物館紀要, 1: 41–63."
465,L00931,"清沢 晴親 (1958) 御嶽及び其の周辺の多足類及び蜘蛛類. 御岳研究, 1: 455–467."
466,L00717,"木場 有紀・坂口 実香・村岡 里香・小櫃 剛人・谷田 創 (2009) 広島県呉市上蒲刈島におけるイノシシの食性. 哺乳類科学, 49(2): 207–215."
467,L01420,"Kobayashi S., Morita Y., Nakaya Y., Nagamine T., Onuma M., Okano T., Haga A., Yamamoto I., Higa M., Naruse T., Nakamura Y., Denda T. and Izawa M. (2018) Dietary habits of the endangered Okinawa Rail. Ornithological Science, 17(1): 19–35."
468,L01652,"Koch C. L. (1835) Deutschlands Crustaceen, Arachniden und Myriopoden, Heft 3. In: Panzer and Herrich-Schäffer (eds.) Deutschlands Insecten „3“."
469,L00040,"Koch C. L. (1847) System der Myriapoden, mit den Verzeichnissen und Berichtigungen zu Deutschlands Crustaceen, Myriapoden, und Arachniden. p. 1–196 In: Panzer and Herrich-Schäffer (eds.) Kritische Revision der Insectenfaune deutschlands, III. Bändchen. Pustet, Regensburg."
470,L01157,"Koch L. (1878 (not 1877)) Japanesische Arachniden und Myriapoden. Verhandlungen der Kaiserlich-Königlichen Zoologisch-Botanischen Gesellschaft in Wien, 27: 735–798."
471,L01621,"古出 俊子 (1969) アカヤスデの観察. 昆虫と自然, 4(12): 17–18."
472,L00622,"小松 貴 (2015) 四国東部の地下浅層から採集された日本産真洞窟性ヤスデの記録. Edaphologia, (97): 43–45."
473,L01563,"小西 正泰 (2007) ムカデの毒も使いよう. p. 235. In: 梅谷 献二 (編) 新版 原色図鑑 野外の毒虫と不快な虫. 全国農村教育協会, 東京."
474,L00042,"Korsós Z. (1996) An approach to the revision of the east Asian millipede genus <i>Anaulaciulus</i>. In: Geoffroy, J. J., Mauries, J. P. and Nguyen Duy-Jacquemin M. (eds.) Acta Myriapodologica. Mémoires du Muséum National d'Histoire Naturelle, 169: 35–43."
475,L00311,"Korsós Z. (2004) Checklist and bibliography of millipedes (Diplopoda) of Taiwan. Collection and Research, 17: 11–32."
476,L01035,"Zoltán Korsós (2012) インドケヤスデ（オビヤスデ目ヤケヤスデ科）の日本からの初記録. 沖縄生物学会誌, (50): 31–36."
477,L00702,Zoltán Korsós (著)・中村 泰之 (翻訳) (2015) 多足類. p. 596–598 In: 沖縄県教育庁文化財課史料編集班 (編) 沖縄県史 各論編 第1巻 自然環境. 沖縄県教育委員会. 782 pp.
478,L01656,"Korsós Z., Enghoff H. and Chang H.-W. (2008) A most unusual animal distribution pattern: a new siphonocryptid millipede from Taiwan (Diplopoda, Siphonocryptida). Acta Zoologica Academiae Scientiarum Hungaricae, 54(2): 151–157."
479,L01657,"Korsós Z., Geoffroy J.-J. and Mauriès J.-P. (2010) The fifth element: reconnection of the disjunct distribution of the members of Siphonocryptida (Diplopoda) with the description of a new species from Nepal. Journal of Natural History, 43(7–8): 435–445."
480,L00041,"Zoltán Korsós・Eszter Lazányi (2013) 台湾と日本から記録された <i>Nepalmatoiulus</i> 属（ヤスデ綱：ヒメヤスデ科）３新種の記載と生物地理ノート. Edaphologia, (92): 1–16."
481,L00043,"Korsós Z., Nakamura Y. and Tanabe T. (2011) Two new millipede species of the genus <i>Riukiaria</i> (Diplopoda, Polydesmida, Xystodesmidae) endemic to the Ryukyu Archipelago, Japan. Zootaxa, 2877(1): 55–68."
482,L01131,"越山 正三 (1963) 鹿児島県の多足類（ムカデ，ヤスデ）. あこう, (2): 36–42."
483,L01634,"Kraepelin K. (1902) Revision der Scolopendriden. Mitteilungen aus dem Naturhistorischen Museum in Hamburg, 20: 1–276."
484,L01058,"Kraus O. (1960) Über ""<i>Hokkaidaria hamuligera</i>"" Verhoeff nom. nud., eine neue Art des Genus <i>Japonaria</i> (Diplopoda, Leptodesmidae). Opuscula Zoologica (München), (49): 1–3."
485,L01538,"Kronmüller C. (2012) Review of the subspecies of <i>Scolopendra subspinipes</i> Leach, 1815 with the new description of the South Chinese member of the genus <i>Scolopendra</i> Linnaeus, 1758 named <i>Scolopendra hainanum</i> spec. nov. Spixiana, 35(1): 19–27."
486,L00044,"Kudo S., Akagi Y., Hiraoka S., Tanabe T. and Morimoto G. (2010) Exclusive male egg care and determinants of brooding success in a millipede. Ethology, 117(1): 19–27."
487,L00264,"Kudo S., Koshio C. and Tanabe T. (2009) Male egg-brooding in the millipede <i>Yamasinaium noduligerum</i> (Diplopoda: Andrognathidae). Entomological Science, 12(3): 346–347."
488,L00291,"工藤 慎一・桑原 保正・Zoltán Korsós・市来 弥生・森田 將史・浅野 泰久・中村 泰之・田辺 力 (2014) ヤスデ2種で新たに確認された抱卵行動. 昆蟲 (ニューシリーズ), 17(4): 135–137."
489,L01003,"熊野 正雄 (1943) 富士山の洞穴動物. 博物学雑誌, 37(73): 51–56."
490,L01622,"庫本 正・西川 喜朗 (1982) 洞窟の生きもの—洞窟動物の特徴と進化—. 季刊自然科学と博物館, 49(4): 127–133."
491,L01223,"Kurnik I. and Thaler K. (1985) Further millipedes from pitfall trapping in north Tzrol (Austria) (Myriapoda: Diplopoda). Berichte des Naturwissenschaftlich-medizinischen Vereins in Innsbruck, 72: 145–154."
492,L01368,"Kuroda M., Susukida M., Sakamoto K., Tsukamoto S., Nguyen A. D., Oguri E. and Eguchi K. (2022) A new species of the genus <i>Hyleoglomeris</i> Verhoeff 1910 from Central Japan (Diplopoda: Glomerida: Glomeridae). Acta Arachnologica, 71(2): 115–124."
493,L01701,"Kuroda S., Uchida N. and Nakagaki T. (2022) Gait switching with phase reversal of locomotory waves in the centipede <i>Scolopocryptops rubiginosus</i>. Bioinspiration & Biomimetics, 17: 1–30."
494,L00821,"黒佐 和義 (1992) 多足類につくダニと篠原先生. Takakuwaia, (24): 27–28."
495,L00045,"Kuse M., Yanagi M., Tanaka E., Tani N. and Nishikawa T. (2010) Identification of a fluorescent compound in the cuticle of the Train Millipede <i>Parafontaria laminata armigera</i>. Bioscience, Biotechnology, and Biochemistry, 74(11): 2307–2309."
496,L01700,"沓掛 丈・江口 克之・川野 敬介 (2024) 島根県のコムカデ類相. ホシザキグリーン財団研究報告, (27): 171–214."
497,L00750,"桑原 幸夫 (1978) 樹皮下に多いヤマトスコリジムカデ. Takakuwaia, (10): 6."
498,L01066,"桑原 幸夫 (1980) アカガシの樹皮下より得られた多足類について (I). 清澄, (8): 25–29."
499,L00772,"桑原 幸夫 (1984) 御蔵島の多足類. Takakuwaia, (16): 3–5."
500,L01150,"桑原 幸夫 (1987) ジムカデの体節奇形と有肢体（胴）節のふえ方について. Atypus, (89): 40-41."
501,L00789,"桑原 幸夫 (1988) ナミコムカデの卵. Takakuwaia, (20): 11."
502,L00800,"桑原 幸夫 (1990) 新潟県粟島から得られた多足類. Takakuwaia, (22): 4."
503,L00805,"桑原 幸夫 (1991) 三重県志摩半島から得られた多足類. Takakuwaia, (23): 6–8."
504,L00822,"桑原 幸夫 (1992) 篠原圭三郎先生との出会い. Takakuwaia, (24): 28."
505,L00843,"桑原 幸夫 (1992) 三浦半島海岸のイソシマジムカデ <i>Nesogeophilus littoralis</i> Takakuwaの個体群生態について. Takakuwaia, (24): 53–60."
506,L00850,"桑原 幸夫 (1992) キシャヤスデ群遊の記録. Takakuwaia, (24): 102."
507,L00851,"桑原 幸夫 (1992) 東京・小石川植物園の多足類. Takakuwaia, (24): 102–104."
508,L00855,"桑原 幸夫 (1993) 紀伊半島沿岸部の多足類. Takakuwaia, (25): 12–18."
509,L00857,"桑原 幸夫 (1993) 続・キシャヤスデ群遊の記録. Takakuwaia, (25): 22."
510,L00917,"桑原 幸夫 (1993) 麦ワラ屋根に発生したニッポンアカヤスデ. Takakuwaia, (25): 22."
511,L00993,"桑原 幸夫 (1994) 東海地方沿岸部の多足類採集記録. Takakuwaia, (26): 3–8."
512,L00889,"桑原 幸夫 (1997) 村上好央先生の思い出. Takakuwaia, (29): 15."
513,L00894,"桑原 幸夫 (1997) 愛知県の多足類採集記録. Takakuwaia, (29): 24–27."
514,L00898,"桑原 幸夫 (1998) 群馬県赤城山大沼周辺の多足類採集記録. Takakuwaia, (30): 1–3."
515,L00899,"桑原 幸夫 (1998) 茨城県鹿島神宮の多足類採集記録. Takakuwaia, (30): 5."
516,L00900,"桑原 幸夫 (1998) 白甲鏞先生の御業績について. Takakuwaia, (30): 7–8."
517,L01676,"桑原 幸夫 (2000) 幸手市の多足類. p. 173–174. In: 生涯学習課市史編さん室 (編) 幸手市史 自然環境編II 植物と動物. 幸手市教育委員会, 幸手."
518,L01677,"桑原 幸夫 (2000) 幸手市の多足類目録. p. 307–312. In: 生涯学習課市史編さん室 (編) 幸手市史 自然環境編II 植物と動物. 幸手市教育委員会, 幸手."
