No,JapaneseName,ScientificName,AuthorYear,Rank
92,ヤリヤスデ科,Conotylidae,"Cook, 1896",family
93,ミコシヤスデ科,Diplomaragnidae,"Attems, 1907",family
94,ヒメケヤスデ科,Metopidiotrichidae,"Attems, 1907",family
95,-,Caseyidae,"Verhoeff, 1909",family
96,ババヤスデ科,Xystodesmidae,"Cook in Cook & Collins, 1895",family
97,シロハダヤスデ科,Cryptodesmidae,"Karsch, 1880",family
98,エリヤスデ科,Haplodesmidae,"Cook in Cook & Collins, 1895",family
99,オビヤスデ科,Polydesmidae,"Leach, 1816",family
100,ハガヤスデ科,Pyrgodesmidae,"Silvestri, 1896",family
101,ヒメオビヤスデ科,Opisotretidae,"Hoffman, 1980",family
102,ヤケヤスデ科,Paradoxosomatidae,"Daday, 1889",family
103,マルヤスデ科,Spirobolidae,"Bollman, 1893",family
104,カグヤヤスデ科,Spirobolellidae,"Brölemann, 1913",family
105,マガイカグヤヤスデ科,Pseudospirobolellidae,"Brölemann, 1913",family
106,ミナミヤスデ科,Pachybolidae,"Cook, 1897",family
107,ヒゲヤスデ科,Cambalidae,"Bollman, 1893",family
108,ヒモヤスデ科,Cambalopsidae,"Cook in Cook & Collins, 1895",family
109,ヒロウミヤスデ科,Okeanobatidae,"Verhoeff, 1942",family
110,ヒメヤスデ科,Julidae,"Leach, 1816",family
111,カザアナヤスデ科,Nemasomatidae,"Bollman, 1893",family
112,エゾヒメヤスデ科,Pseudonemasomatidae,"Enghoff, 1991",family
113,ホタルヤスデ科,Mongoliulidae,"Pocock, 1903",family
114,クロヒメヤスデ科,Parajulidae,"Bollman, 1893",family
115,フサヤスデ目,Polyxenida,"Verhoeff, 1934",order
116,タマヤスデ目,Glomerida,"Cook in Cook & Collins, 1895",order
117,ギボウシヤスデ目,Siphonophorida,"Hoffman, 1969",order
118,ヒラタヤスデ目,Platydesmida,"Cook in Cook & Collins, 1895",order
119,-,Siphonocryptida,"Cook in Cook & Collins, 1895",order
120,ジヤスデ目,Polyzoniida,"Cook in Cook & Collins, 1895",order
121,ツムギヤスデ目,Chordeumatida,"Cook & Collins in Pocock, 1894",order
122,オビヤスデ目,Polydesmida,"Pocock, 1887",order
123,マルヤスデ目,Spirobolida,"Cook in Cook & Collins, 1895",order
124,ヒキツリヤスデ目,Spirostreptida,"Brandt, 1833",order
125,ヒメヤスデ目,Julida,"Brandt, 1833",order
126,ハイイロフサヤスデ,Eudigraphis kinutensis,"(Haga in Takashima & Haga, 1950)",species
127,イソフサヤスデ,Eudigraphis nigricans,"(Miyosi, 1947)",species
128,ウスアカフサヤスデ,Eudigraphis takakuwai,"(Miyosi, 1947)",species
129,シノハラフサヤスデ,Polyxenus shinoharai,"Ishii, 1983",species
130,タムラフサヤスデ,Polyxenus tamurai,"Ishii, 2023",species
131,リュウキュウフサヤスデ,Lophoturus okinawai,"Nguyen Duy-Jacquemin & Condé, 1982",species
132,アワウミタマヤスデ,Hyleoglomeris awaumi,"Kuroda, Susukida & Eguchi in Kuroda, Susukida, Sakamoto, Tsukamoto, Nguyen, Oguri & Eguchi, 2022",species
133,ミクニタマヤスデ,Hyleoglomeris insularum,"Verhoeff, 1936",species
134,ヤマトタマヤスデ,Hyleoglomeris japonica,"Verhoeff, 1936",species
